"year_id","region_name","regional_unemployment","national_avg_unemployment","deviation_from_avg"
2015,"Calabria","23.00","12.0619047619047619","10.9380952380952381"
2015,"Sicilia","21.40","12.0619047619047619","9.3380952380952381"
2015,"Campania","19.80","12.0619047619047619","7.7380952380952381"
2015,"Puglia","19.70","12.0619047619047619","7.6380952380952381"
2015,"Sardegna","17.40","12.0619047619047619","5.3380952380952381"
2015,"Molise","14.40","12.0619047619047619","2.3380952380952381"
2015,"Basilicata","13.70","12.0619047619047619","1.6380952380952381"
2015,"Abruzzo","12.60","12.0619047619047619","0.5380952380952381"
2015,"Lazio","11.80","12.0619047619047619","-0.2619047619047619"
2015,"Umbria","10.50","12.0619047619047619","-1.5619047619047619"
2015,"Piemonte","10.30","12.0619047619047619","-1.7619047619047619"
2015,"Marche","10.00","12.0619047619047619","-2.0619047619047619"
2015,"Liguria","9.20","12.0619047619047619","-2.8619047619047619"
2015,"Toscana","9.20","12.0619047619047619","-2.8619047619047619"
2015,"Valle Aosta","8.90","12.0619047619047619","-3.1619047619047619"
2015,"Friuli-Venezia Giulia","8.00","12.0619047619047619","-4.0619047619047619"
2015,"Lombardia","7.90","12.0619047619047619","-4.1619047619047619"
2015,"Emilia-Romagna","7.80","12.0619047619047619","-4.2619047619047619"
2015,"Veneto","7.10","12.0619047619047619","-4.9619047619047619"
2015,"Provincia Autonoma di Trento","6.80","12.0619047619047619","-5.2619047619047619"
2015,"Provincia Autonoma di Bolzano","3.80","12.0619047619047619","-8.2619047619047619"
2016,"Calabria","23.20","11.8476190476190476","11.3523809523809524"
2016,"Sicilia","22.10","11.8476190476190476","10.2523809523809524"
2016,"Campania","20.40","11.8476190476190476","8.5523809523809524"
2016,"Puglia","19.40","11.8476190476190476","7.5523809523809524"
2016,"Sardegna","17.30","11.8476190476190476","5.4523809523809524"
2016,"Basilicata","13.30","11.8476190476190476","1.4523809523809524"
2016,"Molise","12.80","11.8476190476190476","0.9523809523809524"
2016,"Abruzzo","12.10","11.8476190476190476","0.2523809523809524"
2016,"Lazio","11.20","11.8476190476190476","-0.6476190476190476"
2016,"Marche","10.60","11.8476190476190476","-1.2476190476190476"
2016,"Liguria","9.80","11.8476190476190476","-2.0476190476190476"
2016,"Umbria","9.60","11.8476190476190476","-2.2476190476190476"
2016,"Toscana","9.50","11.8476190476190476","-2.3476190476190476"
2016,"Piemonte","9.40","11.8476190476190476","-2.4476190476190476"
2016,"Valle Aosta","8.70","11.8476190476190476","-3.1476190476190476"
2016,"Friuli-Venezia Giulia","7.60","11.8476190476190476","-4.2476190476190476"
2016,"Lombardia","7.40","11.8476190476190476","-4.4476190476190476"
2016,"Emilia-Romagna","7.00","11.8476190476190476","-4.8476190476190476"
2016,"Provincia Autonoma di Trento","6.90","11.8476190476190476","-4.9476190476190476"
2016,"Veneto","6.80","11.8476190476190476","-5.0476190476190476"
2016,"Provincia Autonoma di Bolzano","3.70","11.8476190476190476","-8.1476190476190476"
2017,"Calabria","21.60","11.4619047619047619","10.1380952380952381"
2017,"Sicilia","21.50","11.4619047619047619","10.0380952380952381"
2017,"Campania","20.90","11.4619047619047619","9.4380952380952381"
2017,"Puglia","18.90","11.4619047619047619","7.4380952380952381"
2017,"Sardegna","17.00","11.4619047619047619","5.5380952380952381"
2017,"Molise","14.60","11.4619047619047619","3.1380952380952381"
2017,"Basilicata","12.80","11.4619047619047619","1.3380952380952381"
2017,"Abruzzo","11.70","11.4619047619047619","0.2380952380952381"
2017,"Lazio","10.70","11.4619047619047619","-0.7619047619047619"
2017,"Umbria","10.60","11.4619047619047619","-0.8619047619047619"
2017,"Marche","10.60","11.4619047619047619","-0.8619047619047619"
2017,"Liguria","9.50","11.4619047619047619","-1.9619047619047619"
2017,"Piemonte","9.10","11.4619047619047619","-2.3619047619047619"
2017,"Toscana","8.60","11.4619047619047619","-2.8619047619047619"
2017,"Valle Aosta","7.80","11.4619047619047619","-3.6619047619047619"
2017,"Friuli-Venezia Giulia","6.70","11.4619047619047619","-4.7619047619047619"
2017,"Emilia-Romagna","6.60","11.4619047619047619","-4.8619047619047619"
2017,"Lombardia","6.40","11.4619047619047619","-5.0619047619047619"
2017,"Veneto","6.30","11.4619047619047619","-5.1619047619047619"
2017,"Provincia Autonoma di Trento","5.70","11.4619047619047619","-5.7619047619047619"
2017,"Provincia Autonoma di Bolzano","3.10","11.4619047619047619","-8.3619047619047619"
2018,"Calabria","21.60","10.6714285714285714","10.9285714285714286"
2018,"Sicilia","21.30","10.6714285714285714","10.6285714285714286"
2018,"Campania","20.30","10.6714285714285714","9.6285714285714286"
2018,"Puglia","16.10","10.6714285714285714","5.4285714285714286"
2018,"Sardegna","15.40","10.6714285714285714","4.7285714285714286"
2018,"Molise","12.70","10.6714285714285714","2.0285714285714286"
2018,"Basilicata","12.50","10.6714285714285714","1.8285714285714286"
2018,"Lazio","11.10","10.6714285714285714","0.4285714285714286"
2018,"Abruzzo","10.80","10.6714285714285714","0.1285714285714286"
2018,"Liguria","9.80","10.6714285714285714","-0.8714285714285714"
2018,"Umbria","9.20","10.6714285714285714","-1.4714285714285714"
2018,"Piemonte","8.20","10.6714285714285714","-2.4714285714285714"
2018,"Marche","8.10","10.6714285714285714","-2.5714285714285714"
2018,"Toscana","7.30","10.6714285714285714","-3.3714285714285714"
2018,"Valle Aosta","7.10","10.6714285714285714","-3.5714285714285714"
2018,"Friuli-Venezia Giulia","6.70","10.6714285714285714","-3.9714285714285714"
2018,"Veneto","6.40","10.6714285714285714","-4.2714285714285714"
2018,"Lombardia","6.00","10.6714285714285714","-4.6714285714285714"
2018,"Emilia-Romagna","5.80","10.6714285714285714","-4.8714285714285714"
2018,"Provincia Autonoma di Trento","4.80","10.6714285714285714","-5.8714285714285714"
2018,"Provincia Autonoma di Bolzano","2.90","10.6714285714285714","-7.7714285714285714"
2019,"Calabria","20.90","10.1047619047619048","10.7952380952380952"
2019,"Campania","20.00","10.1047619047619048","9.8952380952380952"
2019,"Sicilia","19.90","10.1047619047619048","9.7952380952380952"
2019,"Sardegna","14.80","10.1047619047619048","4.6952380952380952"
2019,"Puglia","14.80","10.1047619047619048","4.6952380952380952"
2019,"Molise","12.00","10.1047619047619048","1.8952380952380952"
2019,"Abruzzo","11.10","10.1047619047619048","0.9952380952380952"
2019,"Basilicata","10.80","10.1047619047619048","0.6952380952380952"
2019,"Lazio","9.90","10.1047619047619048","-0.2047619047619048"
2019,"Liguria","9.50","10.1047619047619048","-0.6047619047619048"
2019,"Marche","8.60","10.1047619047619048","-1.5047619047619048"
2019,"Umbria","8.40","10.1047619047619048","-1.7047619047619048"
2019,"Piemonte","7.60","10.1047619047619048","-2.5047619047619048"
2019,"Toscana","6.70","10.1047619047619048","-3.4047619047619048"
2019,"Valle Aosta","6.50","10.1047619047619048","-3.6047619047619048"
2019,"Friuli-Venezia Giulia","6.10","10.1047619047619048","-4.0047619047619048"
2019,"Veneto","5.60","10.1047619047619048","-4.5047619047619048"
2019,"Lombardia","5.60","10.1047619047619048","-4.5047619047619048"
2019,"Emilia-Romagna","5.50","10.1047619047619048","-4.6047619047619048"
2019,"Provincia Autonoma di Trento","5.00","10.1047619047619048","-5.1047619047619048"
2019,"Provincia Autonoma di Bolzano","2.90","10.1047619047619048","-7.2047619047619048"
2020,"Calabria","19.90","9.3238095238095238","10.5761904761904762"
2020,"Campania","18.20","9.3238095238095238","8.8761904761904762"
2020,"Sicilia","18.10","9.3238095238095238","8.7761904761904762"
2020,"Puglia","14.10","9.3238095238095238","4.7761904761904762"
2020,"Sardegna","13.00","9.3238095238095238","3.6761904761904762"
2020,"Molise","9.80","9.3238095238095238","0.4761904761904762"
2020,"Abruzzo","9.60","9.3238095238095238","0.2761904761904762"
2020,"Lazio","9.20","9.3238095238095238","-0.1238095238095238"
2020,"Basilicata","8.70","9.3238095238095238","-0.6238095238095238"
2020,"Liguria","8.20","9.3238095238095238","-1.1238095238095238"
2020,"Umbria","8.20","9.3238095238095238","-1.1238095238095238"
2020,"Piemonte","7.50","9.3238095238095238","-1.8238095238095238"
2020,"Marche","7.40","9.3238095238095238","-1.9238095238095238"
2020,"Toscana","6.70","9.3238095238095238","-2.6238095238095238"
2020,"Emilia-Romagna","5.80","9.3238095238095238","-3.5238095238095238"
2020,"Veneto","5.80","9.3238095238095238","-3.5238095238095238"
2020,"Valle Aosta","5.80","9.3238095238095238","-3.5238095238095238"
2020,"Friuli-Venezia Giulia","5.60","9.3238095238095238","-3.7238095238095238"
2020,"Provincia Autonoma di Trento","5.40","9.3238095238095238","-3.9238095238095238"
2020,"Lombardia","5.10","9.3238095238095238","-4.2238095238095238"
2020,"Provincia Autonoma di Bolzano","3.70","9.3238095238095238","-5.6238095238095238"
2021,"Campania","19.30","9.4190476190476190","9.8809523809523810"
2021,"Sicilia","18.70","9.4190476190476190","9.2809523809523810"
2021,"Calabria","18.00","9.4190476190476190","8.5809523809523810"
2021,"Puglia","14.60","9.4190476190476190","5.1809523809523810"
2021,"Sardegna","13.50","9.4190476190476190","4.0809523809523810"
2021,"Molise","10.90","9.4190476190476190","1.4809523809523810"
2021,"Lazio","10.00","9.4190476190476190","0.5809523809523810"
2021,"Abruzzo","9.30","9.4190476190476190","-0.1190476190476190"
2021,"Liguria","8.40","9.4190476190476190","-1.0190476190476190"
2021,"Basilicata","8.30","9.4190476190476190","-1.1190476190476190"
2021,"Toscana","7.50","9.4190476190476190","-1.9190476190476190"
2021,"Piemonte","7.30","9.4190476190476190","-2.1190476190476190"
2021,"Valle Aosta","7.30","9.4190476190476190","-2.1190476190476190"
2021,"Marche","7.10","9.4190476190476190","-2.3190476190476190"
2021,"Umbria","6.60","9.4190476190476190","-2.8190476190476190"
2021,"Lombardia","5.90","9.4190476190476190","-3.5190476190476190"
2021,"Friuli-Venezia Giulia","5.70","9.4190476190476190","-3.7190476190476190"
2021,"Emilia-Romagna","5.50","9.4190476190476190","-3.9190476190476190"
2021,"Veneto","5.30","9.4190476190476190","-4.1190476190476190"
2021,"Provincia Autonoma di Trento","4.80","9.4190476190476190","-4.6190476190476190"
2021,"Provincia Autonoma di Bolzano","3.80","9.4190476190476190","-5.6190476190476190"
2022,"Campania","17.10","8.1095238095238095","8.9904761904761905"
2022,"Sicilia","16.60","8.1095238095238095","8.4904761904761905"
2022,"Calabria","14.60","8.1095238095238095","6.4904761904761905"
2022,"Puglia","12.10","8.1095238095238095","3.9904761904761905"
2022,"Sardegna","11.50","8.1095238095238095","3.3904761904761905"
2022,"Molise","10.50","8.1095238095238095","2.3904761904761905"
2022,"Abruzzo","9.40","8.1095238095238095","1.2904761904761905"
2022,"Lazio","7.70","8.1095238095238095","-0.4095238095238095"
2022,"Basilicata","7.10","8.1095238095238095","-1.0095238095238095"
2022,"Umbria","7.10","8.1095238095238095","-1.0095238095238095"
2022,"Liguria","7.00","8.1095238095238095","-1.1095238095238095"
2022,"Piemonte","6.50","8.1095238095238095","-1.6095238095238095"
2022,"Marche","6.20","8.1095238095238095","-1.9095238095238095"
2022,"Toscana","6.00","8.1095238095238095","-2.1095238095238095"
2022,"Valle Aosta","5.40","8.1095238095238095","-2.7095238095238095"
2022,"Friuli-Venezia Giulia","5.30","8.1095238095238095","-2.8095238095238095"
2022,"Emilia-Romagna","5.00","8.1095238095238095","-3.1095238095238095"
2022,"Lombardia","4.90","8.1095238095238095","-3.2095238095238095"
2022,"Veneto","4.20","8.1095238095238095","-3.9095238095238095"
2022,"Provincia Autonoma di Trento","3.80","8.1095238095238095","-4.3095238095238095"
2022,"Provincia Autonoma di Bolzano","2.30","8.1095238095238095","-5.8095238095238095"
2023,"Campania","17.40","7.6000000000000000","9.8000000000000000"
2023,"Calabria","15.90","7.6000000000000000","8.3000000000000000"
2023,"Sicilia","15.80","7.6000000000000000","8.2000000000000000"
2023,"Puglia","11.60","7.6000000000000000","4.0000000000000000"
2023,"Sardegna","10.10","7.6000000000000000","2.5000000000000000"
2023,"Molise","9.60","7.6000000000000000","2.0000000000000000"
2023,"Abruzzo","8.10","7.6000000000000000","0.5000000000000000"
2023,"Basilicata","7.50","7.6000000000000000","-0.1000000000000000"
2023,"Lazio","7.20","7.6000000000000000","-0.4000000000000000"
2023,"Piemonte","6.20","7.6000000000000000","-1.4000000000000000"
2023,"Liguria","6.10","7.6000000000000000","-1.5000000000000000"
2023,"Umbria","6.00","7.6000000000000000","-1.6000000000000000"
2023,"Toscana","5.30","7.6000000000000000","-2.3000000000000000"
2023,"Marche","5.20","7.6000000000000000","-2.4000000000000000"
2023,"Emilia-Romagna","5.00","7.6000000000000000","-2.6000000000000000"
2023,"Friuli-Venezia Giulia","4.60","7.6000000000000000","-3.0000000000000000"
2023,"Veneto","4.20","7.6000000000000000","-3.4000000000000000"
2023,"Valle Aosta","4.00","7.6000000000000000","-3.6000000000000000"
2023,"Lombardia","4.00","7.6000000000000000","-3.6000000000000000"
2023,"Provincia Autonoma di Trento","3.80","7.6000000000000000","-3.8000000000000000"
2023,"Provincia Autonoma di Bolzano","2.00","7.6000000000000000","-5.6000000000000000"
2024,"Campania","15.60","6.4714285714285714","9.1285714285714286"
2024,"Calabria","13.10","6.4714285714285714","6.6285714285714286"
2024,"Sicilia","13.00","6.4714285714285714","6.5285714285714286"
2024,"Puglia","9.30","6.4714285714285714","2.8285714285714286"
2024,"Sardegna","8.30","6.4714285714285714","1.8285714285714286"
2024,"Molise","7.90","6.4714285714285714","1.4285714285714286"
2024,"Abruzzo","7.10","6.4714285714285714","0.6285714285714286"
2024,"Basilicata","6.70","6.4714285714285714","0.2285714285714286"
2024,"Lazio","6.30","6.4714285714285714","-0.1714285714285714"
2024,"Liguria","5.40","6.4714285714285714","-1.0714285714285714"
2024,"Piemonte","5.40","6.4714285714285714","-1.0714285714285714"
2024,"Marche","5.10","6.4714285714285714","-1.3714285714285714"
2024,"Umbria","4.80","6.4714285714285714","-1.6714285714285714"
2024,"Emilia-Romagna","4.30","6.4714285714285714","-2.1714285714285714"
2024,"Friuli-Venezia Giulia","4.30","6.4714285714285714","-2.1714285714285714"
2024,"Toscana","4.00","6.4714285714285714","-2.4714285714285714"
2024,"Valle Aosta","3.90","6.4714285714285714","-2.5714285714285714"
2024,"Lombardia","3.70","6.4714285714285714","-2.7714285714285714"
2024,"Veneto","3.00","6.4714285714285714","-3.4714285714285714"
2024,"Provincia Autonoma di Trento","2.70","6.4714285714285714","-3.7714285714285714"
2024,"Provincia Autonoma di Bolzano","2.00","6.4714285714285714","-4.4714285714285714"
